"","FA 16:0","FA 16:1","FA 18:0","FA 18:1","FA 18:2","FA 20:4","PI 36:2","PI 38:3","PI 38:4"
"FA 16:0",1,0.830893127573313,0.95600970617448,0.877943686658709,0.846688025427901,0.27969833401378,-0.0483759147757818,0.232618143633806,0.458980078187942
"FA 16:1",0.830893127573313,1,0.749223520176555,0.95605317097423,0.869959479523294,0.38538778490242,0.114892473329289,0.350245898201857,0.360472615910197
"FA 18:0",0.95600970617448,0.749223520176555,1,0.836212754967961,0.777205482166572,0.209098400049568,-0.042486972048267,0.193162893107341,0.456744166765726
"FA 18:1",0.877943686658709,0.95605317097423,0.836212754967961,1,0.90030013958636,0.419459305076686,0.0875668782966994,0.397474560528317,0.517259192834157
"FA 18:2",0.846688025427901,0.869959479523294,0.777205482166572,0.90030013958636,1,0.492444592062222,0.226039497643975,0.4355019177788,0.538761645804364
"FA 20:4",0.27969833401378,0.38538778490242,0.209098400049568,0.419459305076686,0.492444592062222,1,0.615822628736276,0.867807388211791,0.837696938965515
"PI 36:2",-0.0483759147757818,0.114892473329289,-0.042486972048267,0.0875668782966994,0.226039497643975,0.615822628736276,1,0.606804520175946,0.510011041962718
"PI 38:3",0.232618143633806,0.350245898201857,0.193162893107341,0.397474560528317,0.4355019177788,0.867807388211791,0.606804520175946,1,0.793846745874164
"PI 38:4",0.458980078187942,0.360472615910197,0.456744166765726,0.517259192834157,0.538761645804364,0.837696938965515,0.510011041962718,0.793846745874164,1
