"","PC1","PC2","PC3","batch","label"
"1",-0.910625449436851,-0.505351412621517,-1.65710519338066,"b1","QCDil"
"2",-0.58103645653296,-0.312852813726658,-1.57571833094045,"b1","QCDil"
"3",-0.525402287481319,-0.446675840697571,-0.974187319672828,"b1","QC"
"4",-0.483775907843442,1.03639893837731,-1.13311080931099,"b2","H"
"5",-3.53268841370776,0.463873515175237,-4.37550079781562,"b2","C1"
"6",-7.2790204892874,-0.133881865765703,-6.36023088989457,"b2","C2"
"7",26.7965123547461,-7.68498590084769,-2.8962576742296,"b2","T"
"8",-3.75669034843036,-1.99378700930361,4.36817728461473,"b2","H"
"9",-4.34083830862064,1.33735119588913,3.95393638207388,"b2","C1"
"10",-2.39547950118694,-1.01319186879427,5.68571966537043,"b2","C2"
"11",8.70208350844303,-3.69063107678216,-3.82948173478759,"b2","C1"
"12",-1.42422915844442,-8.20737248032991,-2.87890668085257,"b2","T"
"13",-7.95580708068435,-6.28759181621762,-0.318755766767568,"b2","C2"
"14",-1.62466265100563,-13.6049824271807,-0.320745155033545,"b2","QC"
"15",1.70461341625042,5.85470038240908,3.11175755666095,"b3","T"
"16",1.78219243758581,-8.70245132392636,0.221946355162775,"b3","H"
"17",-3.18034027249959,4.04663543003545,-1.17901865508574,"b3","T"
"18",1.77536416736033,2.20114935549635,1.66216830403105,"b3","T"
"19",-5.27021448203875,2.8885313646325,1.18213874488286,"b3","C2"
"20",10.6748328853033,-3.37557156840597,7.61165307814443,"b3","T"
"21",5.59154514032845,-2.36739310855113,-1.68921625543983,"b3","T"
"22",-2.20611906907801,2.62068747352795,4.71527601961679,"b3","H"
"23",-3.23191552762027,0.121717955954823,3.82181683687158,"b3","C2"
"24",-3.33863010046786,-1.34209014834709,2.22256691150102,"b3","C2"
"25",-2.68953390766693,4.84526683553845,2.53421388929384,"b3","QC"
"26",28.446654106065,9.8138622979626,-2.19937716022787,"b4","C2"
"27",6.27340237636134,3.24312220625921,5.90791135133657,"b4","C2"
"28",-9.08914005121301,0.76973458040201,-3.60962423639966,"b4","T"
"29",-1.94391409058037,-1.82288220549822,2.00849514640162,"b4","C2"
"30",-0.232115627955556,3.52441297615215,-5.16701995810165,"b4","C1"
"31",-8.99503114833553,2.5988874603313,-6.0824477386951,"b4","T"
"32",-1.11340972733787,4.98116668061716,-0.931372872468947,"b4","T"
"33",0.36725648630696,6.44093371006043,-5.16999767357591,"b4","C2"
"34",-5.86366136285559,0.399970047128312,0.903550527463194,"b4","C1"
"35",-6.42949913115711,2.29338996305072,-0.242703219299715,"b4","H"
"36",-3.72067632728228,2.009900497996,2.67945006855468,"b4","QC"
